formatted_address,province,city,district,adcode,lng,lat,Name,keyword,lng_wgs84,lat_wgs84,height,location,Rate,备注
江苏省常州市武进区中国春秋淹城旅游区,江苏省,CZ,武进区,320412,119.932189,31.70224,常州中国春秋淹城旅游区,春秋乐园,119.9275151,31.70435624,2,"119.932189,31.70224",5A,常州中国春秋淹城旅游区景点
江苏省常州市武进区中国春秋淹城旅游区,江苏省,CZ,武进区,320412,119.926846,31.698838,常州中国春秋淹城旅游区,野生动物世界,119.9221753,31.7009606,6,"119.926846,31.698838",5A,常州中国春秋淹城旅游区景点
江苏省苏州市吴中区重元寺,江苏省,SZ,吴中区,320506,120.781891,31.4062,苏州重元寺景区,重元寺,120.777538,31.40818314,5,"120.781891,31.4062",4A,
江苏省无锡市梁溪区无锡博物院,江苏省,WX,梁溪区,320213,120.305869,31.54961,无锡博物院,无锡博物馆,120.3012636,31.55150246,9,"120.305869,31.54961",4A,
江苏省无锡市新吴区鸿山遗址博物馆,江苏省,WX,新吴区,320214,120.508123,31.49274,无锡鸿山遗址博物馆,鸿山遗址,120.5037216,31.49471442,5,"120.508123,31.49274",4A,
江苏省无锡市滨湖区太湖欢乐园,江苏省,WX,滨湖区,320211,120.23592,31.58357,无锡动物园·太湖欢乐园,无锡动物园,120.2313193,31.58551083,21,"120.23592,31.58357",4A,
江苏省常州市溧阳市天目湖,江苏省,CZ,溧阳市,320481,119.53349,31.181829,常州天目湖御水温泉景区,御水温泉,119.5284948,31.18399657,129,"119.53349,31.181829",5A,常州天目湖旅游区景点
江苏省苏州市吴中区金鸡湖景区,江苏省,SZ,吴中区,320506,120.698571,31.31155,苏州金鸡湖景区,金鸡湖,120.6942544,31.31359253,2,"120.698571,31.31155",5A,
江苏省苏州市姑苏区七里山塘景区,江苏省,SZ,姑苏区,320508,120.602543,31.31681,苏州七里山塘景区,山塘,120.598372,31.31899067,3,"120.602543,31.31681",4A,
江苏省苏州市姑苏区历史文化街区,江苏省,SZ,姑苏区,320508,120.633138,31.31718,苏州平江历史文化街区,平江,120.628945,31.3193357,6,"120.633138,31.31718",4A,
